"deviceCount","publisher","displayName","platform","version","sizeInByte","id"
"1","CN=A859DD97-C8A9-4600-AF02-87CC892B38C5","30067IrfanSkiljanIrfanVie.IrfanView64","windows","4.7.2.0","0","fa9c6c68d846a426772248d6175238418bc932941ebe45e5d76c376fcc83443c"
"1","CN=ED346674-0FA1-4272-85CE-3187C9C86E26","AD2F1837.HPPrinterControl","windows","163.1.1121.0","0","f80dd7e38f8a2a5bfea5b975eaa5a84ce8fa4f19c07eb49251a8cd518e2fb767"
"1","Canva Pty Ltd","Canva","windows","1.119.0","0","00008f9eeb54b19dda910378300d8a4a2a840000ffff"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MSTeams","windows","1.0.0.0","0","754227d6ad92336e71de50da53b15bc120a8c323ee06a9fd05bc1bf3a6b06e28"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MSTeams","windows","26015.1706.4351.4392","0","feddaadfe1c89ff7488aaac2a51f53bdd98f177129cf83a1eef0a4b5bfedae4f"
"1","Microsoft Corporation","Microsoft 365 Apps for Enterprise - de-de","windows","16.0.19725.20078","0","0000c8df60f6f8e0b985413269916e76a0200000ffff"
"1","Microsoft Corporation","Microsoft 365 Apps for enterprise - en-us","windows","16.0.19725.20078","0","0000fb3a0c0e3ad64ad87da5d6a4f4fceccb0000ffff"
"1","Microsoft Corporation","Microsoft Edge","windows","145.0.3800.70","0","0000a53a3a60cdcc3d5c6170347d90ffc59f0000ffff"
"1","Microsoft Corporation","Microsoft Intune Management Extension","windows","1.99.101.0","0","00007588166f792c1c54d508da96ad1681f000000904"
"1","Microsoft Corporation","Microsoft OneDrive","windows","26.022.0203.0006","0","0000367bb68ec3824725e62bd815b0b27a580000ffff"
"1","Microsoft Corporation","Microsoft Visio - de-de","windows","16.0.19725.20078","0","00007661e62db1a36b2fc73a44cca68fc6fd0000ffff"
"1","Microsoft Corporation","Microsoft Visio - en-us","windows","16.0.19725.20078","0","00003a7331d2937279fbd40ee13e147132310000ffff"
"1","Microsoft Corporation","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","windows","14.44.35211.0","0","00002e96ac03ed3ce3b16fbcb7f0627e67f90000ffff"
"1","Microsoft Corporation","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","windows","14.44.35211.0","0","0000ea448545d03145f01134afdf9efa72e60000ffff"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.AV1VideoExtension","windows","2.0.4.0","0","01355f878a18baf531cbfcb6b48bf9f592cf1b915ae45ca1858927afa47e036f"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.AV1VideoExtension","windows","2.0.6.0","0","3050a79ec8276dd6507702bc66a0f04baafca38cdfd122f4de37b20c07dc0460"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.AVCEncoderVideoExtension","windows","1.1.23.0","0","4beb078bbe9d34af1fe24d229f7a485a83d722567b4274316725c322d4908e54"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.AVCEncoderVideoExtension","windows","1.1.17.0","0","d766b8bebfd5e39afe30257fbb8f084440e04c9a9ab106bd1993be5c1dc67c44"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.ApplicationCompatibilityEnhancements","windows","1.2511.9.0","0","79b7b63043a345e23dd92867bda0d35481538b59b2aee7688fe6d5c55e5251a8"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.ApplicationCompatibilityEnhancements","windows","1.2401.10.0","0","9096d979328f27f4aa9ba498a14d5f72db0b52585c47f4f22f6bed55e21d7aec"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.DesktopAppInstaller","windows","2024.1108.1842.0","0","23ee5970d380697eb5c8aa0b05f24a7b32e2dd459bd699184a795a76fdb10d51"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.DesktopAppInstaller","windows","2026.115.2221.0","0","44596c7e0cd9c6980ed6ff62ec9639adbb58e813f1ed2dd960ab0ff977e10d96"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.GetHelp","windows","10.2407.22193.0","0","016d442e0541a3698b06a2fd2298a9316d5cf65a6110396c4bdaeafc44ce83b5"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.GetHelp","windows","10.2409.33293.0","0","da8a07f1272624339e40dad73b999e4924b6b31743746c610fb8649254701bdd"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.HEIFImageExtension","windows","1.2.29.0","0","08074616d520f25045fc8c875fbc021a4ca05bd662acbecadcba3ab086d8b62f"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.HEIFImageExtension","windows","1.2.22.0","0","c27ac5768b68fa01ccdc51e39453dcf8c3fe32f1877fa78d4285507fc9400070"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.HEVCVideoExtension","windows","2.4.43.0","0","039d49d9bdfc1eeae238efcd861ed2ca0ec4fa1510d863efad2c77ad9af4a38f"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.HEVCVideoExtension","windows","2.4.13.0","0","3121bd3c79fbb5da5d2e79e395ef41d58215cad5ebed4cc67e226b67d6dcad23"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.Ink.Handwriting.Main.de-DE.1.0","windows","0.1082.2350.0","0","58aee40f31dd9fb068e00fae24483e48dfd6cac05c16b2aea33dd089580177d8"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.Ink.Handwriting.de-DE.1.0","windows","0.1082.2350.0","0","205c4e39ab0f54f3955faa375883e5c4996424ea029930aeeab8c2aceebb3827"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.MPEG2VideoExtension","windows","1.2.13.0","0","624eb5af63d5ad560e9dabf23ea6a2971ff7dece6658a2a56bef2941b9b8c84c"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.MPEG2VideoExtension","windows","1.2.12.0","0","f0ec74220cceced614688780b932dcf3fa3caaca193db9922f3733bfc9b236e1"
"2","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.MicrosoftEdge.Stable","windows","145.0.3800.65","0","425c574bb1c5f6ea65d3ac4369b8a97ace2575b4fd8d5c7466f367a169208277"
"2","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.NET.Native.Framework.2.2","windows","2.2.29512.0","0","877f73549bf1d953263d912ba450766fd11782e714843e0c2052ea2330a4d560"
"2","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.NET.Native.Runtime.2.2","windows","2.2.28604.0","0","e99b7c56e72b4f143643710ac88b48c46bc762444323b0e3bb76e39ca7521c82"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.OfficePushNotificationUtility","windows","16.0.19725.20078","0","529233ffc746166f7c4d1dc74c9747147859a4ef9891faa85f7b90b1902cf132"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.OneDriveSync","windows","26022.203.6.0","0","9e3f1dc582e3cee6d9fc39b1e53916e3d45fe2870c531082229e2bb6990194bf"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.OutlookForWindows","windows","1.2026.203.300","0","10f1f167b25c99c03e255d6cb8903b0b8c85edddd2271ef266a5838335415749"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.Paint","windows","11.2412.295.0","0","23c693f5ca3a251e877622b8b07b8ad521272a96662ed85f69afda95be651a71"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.Paint","windows","11.2512.211.0","0","d7cbda0e258cfd50c7eafb0adc92af969b62bf762ba1dd33b572d3d7b0b1976b"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.RawImageExtension","windows","2.5.7.0","0","1e581e24aefdddb866f5b5a5d7fe56b85fd17437f04f0f7fd8e4406643d36620"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.RawImageExtension","windows","2.5.5.0","0","20f59a8b49749f2fa5d5d2f86b5f3e2a1577ee17bda663f8ae309b823ad2663b"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.ScreenSketch","windows","2022.2511.47.0","0","4745a128c6e55a3b57646317c9bfa23209c11b5e0ae98731b828c5cfca781017"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.ScreenSketch","windows","2022.2307.59.0","0","adc373e33e224076f77c36ebd92ca40950325dfcb3a51de969202b01e0559293"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.SecHealthUI","windows","1000.28000.1450.0","0","70fb2f056359b6d360f4cebf6a05f8e67ce7568722f7d371b582e60c939ecbca"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.SecHealthUI","windows","1000.29510.1001.0","0","e37c4417d8d641e78a578f6a168f344e57f8ed2410e8135ca7313c1908791c7a"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.StorePurchaseApp","windows","22408.1400.1.0","0","804689765709cc4c79781e272dffd02e60394d9947013fc0849ee69a3505102b"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.StorePurchaseApp","windows","22512.1401.1.0","0","ff8cc9b9c812a3a59b6f6f6e159863bde2b7fd8effedc324007c4688edd5ebb1"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.UI.Xaml.2.8","windows","8.2310.30001.0","0","aaa79e109671a5aeb0c9eab0fb56d8ece67f46d70f3864f18afc8c40c572266b"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.UI.Xaml.2.8","windows","8.2501.31001.0","0","b40d52e865b7b40087263ae8da178e6c150ebfce31b290c103e205d732aad2a3"
"2","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.VCLibs.140.00","windows","14.0.33519.0","0","2a6421f9547896ca091bfd39139cd02f14a9c4cc136e85202d7ee222ff81bbe8"
"2","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.VCLibs.140.00.UWPDesktop","windows","14.0.33728.0","0","15e130c26ecf9fd018776924518e6d1570bbac0ed44dbe17c06ede8b4518f564"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.VP9VideoExtensions","windows","1.2.12.0","0","19a4870a4810ea1506e7c41202dd7472d4ca7f743d2069987c8754b0608e5f78"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.VP9VideoExtensions","windows","1.2.6.0","0","8f6119e0546e7468223804423864e10a271e205a3259f2a64b007d1e8bdf6f0c"
"2","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WebMediaExtensions","windows","2.1.20.0","0","170771668fafee8d2ee84381a08d00525dcb6bb9784069eb261bcbe9d0f710a5"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WebpImageExtension","windows","1.2.14.0","0","5f2690c32941760b4791fcaf32582e5a36c6f1272729c548d38c39bf783166b8"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WebpImageExtension","windows","1.2.10.0","0","ff29d20c878e2d7944c23843059cf17a6559813647f6b206a4f30a29d0b2a230"
"2","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WidgetsPlatformRuntime","windows","1.6.14.0","0","48f535ee70ce19e80b967283c0a533139bf0080b8936832ae742e7ea8abb113b"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.Windows.Photos","windows","2025.11120.5001.0","0","150e7fbf4987fb73d291cdaf4d89fc0424007b310e88bc3dba4c2800ede38f61"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.Windows.Photos","windows","24.24070.23002.0","0","1afe5a6ed069365a111118f5da666fc8163aac69cdc5fe746c635a21abf80c5b"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsAppRuntime.1.5","windows","5001.311.2039.0","0","4dcdb25fbb6594cb541420092382e4db94413504026b16b86c8a7221f0a0d008"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsAppRuntime.1.5","windows","5001.373.1736.0","0","53bd2bd69170df81bcbe8d190d6393f936a5314143d4326b7b252b9e01afad40"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsAppRuntime.1.6","windows","6000.519.329.0","0","d18f609fb27e578f8861b71429799e5f6508ff29b75fe8d55d1ad5d06dc07a29"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsAppRuntime.1.6","windows","6000.401.2352.0","0","e7f39effc94a09fa73133a11d500bda1dddf48a86d2f83b9635df5fe786035b4"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsAppRuntime.1.7","windows","7000.770.750.0","0","f0f56704492796bfcb401423b1dc530e24a9c70024f1e0b4980318062bfb0952"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsAppRuntime.1.8","windows","8000.770.947.0","0","cf16d4502df4b67d7ef702b4418d8076f68ac6865288b9d8f6faf16796c1006e"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsCalculator","windows","2021.2502.2.0","0","d41ee67984f053c505d2bdda6cc57e4fe3300df16ea0b57af665b2155a61df54"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsCalculator","windows","2021.2508.4.0","0","dc4ead7fab0e40327ca8ac301f081db72d8c07882cce2de9002e0be335639fa2"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsCamera","windows","2025.2505.2.0","0","09096effaeec47e667798b7c078f90e52ba7a59dff13c6271d2a343d76c99f3f"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsCamera","windows","2025.2510.2.0","0","4a823b0b6dadafdc78c435393e1f233ffd4fef1c231d91121e255df4181e7d9e"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsNotepad","windows","11.2510.14.0","0","69f219c5338c289a6b3230e6e8b111e52b4d4bece0687ad05ea69e20cdae9be6"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsNotepad","windows","11.2501.31.0","0","7f4361957b1b9f6fea93f7491e4c134cd26a2c1df7130f912d1bb761f9476cba"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsStore","windows","22506.1400.0.0","0","b1220dfacff510e8b3890ff9b4f02dc30476efc114800cd53f1634595ff0ebd1"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsStore","windows","22512.1401.6.0","0","d3d35f0eb806065f515ee6434c072cb7ab9da14be0452ac9b48973f141a1fa6e"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsTerminal","windows","3001.18.10301.0","0","74b8363b6157b1c7e84cd090a56c8aa16e5c6911eb4c8a5636d8d44e9fa35ca5"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsTerminal","windows","3001.23.20211.0","0","a34611935d4a72e7d07ad0ed97e07cae27289be13008d6ceb4fae608bb8274f1"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.YourPhone","windows","1.26011.42.0","0","1cc754509796edf87d32c7b1a438e5c3302dd8f5e0f6d1315f42603f0a1f4e7e"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.YourPhone","windows","1.25062.84.0","0","f873061ae2d3671fa4afc1300ed24240baa0fcbc70f37f4a7ef922e34632bbfe"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.ZuneMusic","windows","11.2512.10.0","0","0d55319400317456397e6b11763ff08cd2fab433c929dc416905cb18a7a73136"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.ZuneMusic","windows","11.2505.2.0","0","ea79d07e7e3746254b4566cab6d19d72cb424b635120c2d27b4af31cb2812d26"
"1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MicrosoftWindows.Client.WebExperience","windows","526.1202.40.0","0","d493e8ca2e302549dfc046479f399f46614938bbe05de9a17e2b79b6263cbca1"
"1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MicrosoftWindows.Client.WebExperience","windows","525.18101.90.9","0","fa6b42cbf7c39e12b954ef4324695f2845466eefe65161d1ff5340fbc330c269"
"1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MicrosoftWindows.CrossDevice","windows","1.25062.28.0","0","0155fb6acc794eca6274093ed94ae0f738fd2725f8ccf17cb9b8826ea0b4df4c"
"1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MicrosoftWindows.CrossDevice","windows","1.26011.30.0","0","f2242a58a12b5161564a9d0641144924c1db1c0087e10d08544506fa48114ca6"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","aimgr","windows","0.20.41.0","0","a14976ee1685ec2e916282667d70f9d567c7ddcc13b0a36ad8eb910ed3952bbe"
